"uniprotkb_canonical_ac","status","gene_name","reviewed_isoforms","unreviewed_isoforms"
"Q96EI5-1","reviewed","TCEAL4","Q96EI5-2","D6RIH3-1"
"Q96EI5-1","reviewed","TCEAL4","","D6RHZ1-1"
"Q96EI5-1","reviewed","TCEAL4","","D6RD44-1"
"Q96EI5-1","reviewed","TCEAL4","","J3KQY4-1"
"Q96EI5-1","reviewed","TCEAL4","","A2RQR6-1"
"Q9UN36-1","reviewed","NDRG2","Q9UN36-2","G3V4S2-1"
"Q9UN36-1","reviewed","NDRG2","Q9UN36-3","G3V420-1"
"Q9UN36-1","reviewed","NDRG2","Q9UN36-4","G3V5G0-1"
"Q9UN36-1","reviewed","NDRG2","Q9UN36-5","G3V383-1"
"Q9UN36-1","reviewed","NDRG2","Q9UN36-6","G3V2Y3-1"
"Q9UN36-1","reviewed","NDRG2","Q9UN36-1","G3V5S0-1"
"Q9UN36-1","reviewed","NDRG2","","G3V578-1"
"Q9UN36-1","reviewed","NDRG2","","G3V5A6-1"
"Q9UN36-1","reviewed","NDRG2","","G3V5L7-1"
"Q9UN36-1","reviewed","NDRG2","","G3V2T2-1"
"Q9UN36-1","reviewed","NDRG2","","G3V237-1"
"Q9UN36-1","reviewed","NDRG2","","G3V392-1"
"Q9UN36-1","reviewed","NDRG2","","G3V271-1"
"Q9UN36-1","reviewed","NDRG2","","A0A0U1RR50-1"
"Q9UN36-1","reviewed","NDRG2","","G3V5V9-1"
"Q9UN36-1","reviewed","NDRG2","","H0YJ56-1"
"Q9UN36-1","reviewed","NDRG2","","G3V5D7-1"
"Q9UN36-1","reviewed","NDRG2","","G3V358-1"
"Q9UN36-1","reviewed","NDRG2","","G3V3X3-1"
"Q9UN36-1","reviewed","NDRG2","","H0YJT9-1"
"Q9UN36-1","reviewed","NDRG2","","G3V2A6-1"
"Q9UN36-1","reviewed","NDRG2","","G3V3L1-1"
"Q9UN36-1","reviewed","NDRG2","","G3V5G7-1"
"Q9UN36-1","reviewed","NDRG2","","G3V5B7-1"
"Q9UN36-1","reviewed","NDRG2","","G3V2S0-1"
"Q9UN36-1","reviewed","NDRG2","","G3V3D5-1"
"Q9UN36-1","reviewed","NDRG2","","G3V4S9-1"
"Q9UN36-1","reviewed","NDRG2","","G3V3C3-1"
"Q9UN36-1","reviewed","NDRG2","","G3V5B5-1"
"Q9UN36-1","reviewed","NDRG2","","G3V4T9-1"
"Q9UN36-1","reviewed","NDRG2","","G3V280-1"
"Q9UN36-1","reviewed","NDRG2","","G3V239-1"
"Q9UN36-1","reviewed","NDRG2","","G3V2I9-1"
"Q9UN36-1","reviewed","NDRG2","","G3V5H8-1"
"Q9UN36-1","reviewed","NDRG2","","A0A0A0MS87-1"
"Q9UN36-1","reviewed","NDRG2","","G3V3X2-1"
"Q9UN36-1","reviewed","NDRG2","","G3V552-1"
"Q9UN36-1","reviewed","NDRG2","","G3V5P9-1"
"Q9UN36-1","reviewed","NDRG2","","G3V3P1-1"
"Q9UN36-1","reviewed","NDRG2","","H7C0X0-1"
"Q9UN36-1","reviewed","NDRG2","","G3V3P6-1"
"Q9UN36-1","reviewed","NDRG2","","G3V4X3-1"
"Q9UN36-1","reviewed","NDRG2","","G3V285-1"
"Q9UN37-1","reviewed","VPS4A","Q9UN37-1",""
"Q9UN30-3","reviewed","SCML1","Q9UN30-2",""
"Q9UN30-3","reviewed","SCML1","Q9UN30-1",""
"Q9UN30-3","reviewed","SCML1","Q9UN30-3",""
"P51911-1","reviewed","CNN1","P51911-1","K7ERM8-1"
"P51911-1","reviewed","CNN1","P51911-2","B7Z7E1-1"
"P51911-1","reviewed","CNN1","","K7ENC5-1"
"P51911-1","reviewed","CNN1","","K7EQ72-1"
"P51911-1","reviewed","CNN1","","K7ER02-1"
"P51911-1","reviewed","CNN1","","K7ESJ2-1"
"P51911-1","reviewed","CNN1","","K7ERK4-1"
"Q7L591-1","reviewed","DOK3","Q7L591-1","D6R977-1"
"Q7L591-1","reviewed","DOK3","Q7L591-3","D6RAZ9-1"
"Q7L591-1","reviewed","DOK3","Q7L591-2","D6R951-1"
"Q7L591-1","reviewed","DOK3","Q7L591-4","D6RC22-1"
"Q7L591-1","reviewed","DOK3","","D6RF29-1"
"Q7L591-1","reviewed","DOK3","","D6RAM3-1"
"M0QY47-1","unreviewed","","","M0QY47-1"
"Q9NR80-1","reviewed","ARHGEF4","Q9NR80-3","A0A1B0GW00-1"
"Q9NR80-1","reviewed","ARHGEF4","Q9NR80-1","A4QPB6-1"
"Q9NR80-1","reviewed","ARHGEF4","Q9NR80-4","E9PEM0-1"
"Q9NR80-1","reviewed","ARHGEF4","","A0A0C4DFY6-1"
"Q9NR80-1","reviewed","ARHGEF4","","H0YCT6-1"
"Q9NR80-1","reviewed","ARHGEF4","","A0A087X0P1-1"
"Q9NR80-1","reviewed","ARHGEF4","","H0Y451-1"
"Q9NR80-1","reviewed","ARHGEF4","","E7EV07-1"
"Q9NR81-1","reviewed","ARHGEF3","Q9NR81-1","E9PG37-1"
"Q9NR81-1","reviewed","ARHGEF3","Q9NR81-2","E7EU49-1"
"Q9NR81-1","reviewed","ARHGEF3","Q9NR81-3","H7C4P0-1"
"Q9NR81-1","reviewed","ARHGEF3","Q9NR81-4","C9J586-1"
"Q9NR81-1","reviewed","ARHGEF3","","C9J609-1"
"Q9NR81-1","reviewed","ARHGEF3","","F8WDB7-1"
"Q9NR81-1","reviewed","ARHGEF3","","C9JNF2-1"
"Q9NR81-1","reviewed","ARHGEF3","","C9J5K8-1"
"Q9NR81-1","reviewed","ARHGEF3","","F8WC29-1"
"Q9NR82-1","reviewed","KCNQ5","Q9NR82-2","A6PVT8-1"
"Q9NR82-1","reviewed","KCNQ5","Q9NR82-3","A0A0A0MSD9-1"
"Q9NR82-1","reviewed","KCNQ5","Q9NR82-4","A0A0A0MT07-1"
"Q9NR82-1","reviewed","KCNQ5","Q9NR82-5","A0A0A0MRC8-1"
"Q9NR82-1","reviewed","KCNQ5","Q9NR82-6","A6PVT7-1"
"Q9NR82-1","reviewed","KCNQ5","Q9NR82-7","A0A0A0MSC0-1"
"Q9NR82-1","reviewed","KCNQ5","Q9NR82-1","F8WEA4-1"
"Q9NR82-1","reviewed","KCNQ5","","H0Y3Z0-1"
"Q9NR83-1","reviewed","SLC2A4RG","Q9NR83-1",""
"Q9NR83-1","reviewed","SLC2A4RG","Q9NR83-3",""
"Q9NR83-1","reviewed","SLC2A4RG","Q9NR83-4",""
"Q16204-1","reviewed","CCDC6","Q16204-1",""
"A0A0B4J2E5-1","unreviewed","LOC102724159","","A0A0B4J2E5-1"
"A0A0B4J2E5-1","unreviewed","LOC102724159","","A0A0J9YX21-1"
"P12018-1","reviewed","VPREB1","P12018-1","F8W8C9-1"
"A0A0B4J2E0-1","reviewed","TRBV12-4","A0A0B4J2E0-1","A0A1B0GX12-1"
"Q9H649-1","reviewed","NSUN3","Q9H649-1","F8WF52-1"
"Q9Y2M0-1","reviewed","FAN1","Q9Y2M0-1","H3BUK3-1"
"Q9Y2M0-1","reviewed","FAN1","Q9Y2M0-2","H3BQ24-1"
"O14626-1","reviewed","GPR171","O14626-1","C9JR91-1"
"O14627-1","reviewed","CDX4","O14627-1",""
"O14628-1","reviewed","ZNF195","O14628-4","A0A087WT67-1"
"O14628-1","reviewed","ZNF195","O14628-5","E9PLW9-1"
"O14628-1","reviewed","ZNF195","O14628-6","C9JG37-1"
"O14628-1","reviewed","ZNF195","O14628-7","H0YDV1-1"
"O14628-1","reviewed","ZNF195","O14628-8","E9PLF5-1"
"O14628-1","reviewed","ZNF195","O14628-1","E9PPF8-1"
"O14628-1","reviewed","ZNF195","","E9PIN4-1"
"O14628-1","reviewed","ZNF195","","E9PMX5-1"
"O14628-1","reviewed","ZNF195","","E9PSE6-1"
"O14628-1","reviewed","ZNF195","","E9PIT0-1"
"O14628-1","reviewed","ZNF195","","E9PNM0-1"
"O14628-1","reviewed","ZNF195","","E9PIY8-1"
"Q8N8F7-1","reviewed","LSMEM1","Q8N8F7-1",""
"Q8N8F7-1","reviewed","LSMEM1","Q8N8F7-2",""
"P56202-1","reviewed","CTSW","P56202-1","E9PI30-1"
"P56202-1","reviewed","CTSW","","H0YDT2-1"
"P13051-1","reviewed","UNG","P13051-1","F5GYA2-1"
"P13051-1","reviewed","UNG","P13051-2","Q68DM5-1"
"P13056-1","reviewed","NR2C1","P13056-1","F8W1Q1-1"
"P13056-1","reviewed","NR2C1","P13056-2","H0YIV1-1"
"P13056-1","reviewed","NR2C1","P13056-3","A0A087WUK4-1"
"P13056-1","reviewed","NR2C1","","H0YHC6-1"
"Q5T2W1-1","reviewed","PDZK1","Q5T2W1-1","A0A0C4DG67-1"
"Q5T2W1-1","reviewed","PDZK1","Q5T2W1-2",""
"P16662-1","reviewed","UGT2B7","P16662-1","A0A087X084-1"
"P16662-1","reviewed","UGT2B7","","D6RH08-1"
"P16662-1","reviewed","UGT2B7","","E9PBP8-1"
"Q5T5M9-1","reviewed","CCNJ","Q5T5M9-1",""
"Q5T5M9-1","reviewed","CCNJ","Q5T5M9-2",""
"Q5T5M9-1","reviewed","CCNJ","Q5T5M9-3",""
"P52961-1","reviewed","ART1","P52961-1",""
"P35754-1","reviewed","GLRX","P35754-1",""
"Q9NZJ6-1","reviewed","COQ3","Q9NZJ6-1","F6WGP0-1"
"Q9BYW2-1","reviewed","SETD2","Q9BYW2-2","C9JG86-1"
"Q9BYW2-1","reviewed","SETD2","Q9BYW2-3","A0A1W2PPX9-1"
"Q9BYW2-1","reviewed","SETD2","Q9BYW2-1","H7BXT4-1"
"Q9BYW2-1","reviewed","SETD2","","H7BZ93-1"
"Q9BYW2-1","reviewed","SETD2","","H7C3H4-1"
"Q5T089-1","reviewed","MORN1","Q5T089-2","B4DRE3-1"
"Q5T089-1","reviewed","MORN1","Q5T089-1","Q5T088-1"
"Q5T089-1","reviewed","MORN1","","U3KQS9-1"
"Q3SY05-1","reviewed","LINC00303","Q3SY05-1",""
"Q3SY05-1","reviewed","LINC00303","Q3SY05-2",""
"Q6UXA7-1","reviewed","C6orf15","Q6UXA7-1",""
"P78504-1","reviewed","JAG1","P78504-1","A0A087X1E8-1"
"P78504-1","reviewed","JAG1","P78504-2","A0A087WXH5-1"
"Q5VT79-1","reviewed","ANXA8L1","Q5VT79-1","A0A075B752-1"
"Q5VT79-1","reviewed","ANXA8L1","Q5VT79-2","A0A087WUP0-1"
"Q5VT79-1","reviewed","ANXA8L1","","B4DTF2-1"
"O75529-1","reviewed","TAF5L","O75529-2","Q5TDI7-1"
"O75529-1","reviewed","TAF5L","O75529-1",""
"Q9Y512-1","reviewed","SAMM50","Q9Y512-1",""
"Q5H9T9-1","reviewed","FSCB","Q5H9T9-1",""
"O75526-1","reviewed","RBMXL2","O75526-1",""
"Q9Y519-1","reviewed","TMEM184B","Q9Y519-1","A0A0J9YYJ3-1"
"Q9Y519-1","reviewed","TMEM184B","","F8WCD4-1"
"Q9Y519-1","reviewed","TMEM184B","","F2Z397-1"
"O75521-1","reviewed","ECI2","O75521-1","F1LLU7-1"
"O75521-1","reviewed","ECI2","O75521-2","F8WAW4-1"
"O75521-1","reviewed","ECI2","","F8W6J1-1"
"O75521-1","reviewed","ECI2","","C9JB63-1"
"O75521-1","reviewed","ECI2","","A0A0C4DGA2-1"
"P51786-1","reviewed","ZNF157","P51786-1",""
"Q8TAT8-1","reviewed","","Q8TAT8-1",""
"Q6V0I7-1","reviewed","FAT4","Q6V0I7-1",""
"Q6V0I7-1","reviewed","FAT4","Q6V0I7-2",""
"Q6V0I7-1","reviewed","FAT4","Q6V0I7-3",""
"Q8TAT6-1","reviewed","NPLOC4","Q8TAT6-1","I3L283-1"
"Q8TAT6-1","reviewed","NPLOC4","Q8TAT6-2","I3L4U9-1"
"Q8TAT6-1","reviewed","NPLOC4","","A0A0D9SFI9-1"
"Q8TAT6-1","reviewed","NPLOC4","","I3L4S2-1"
"Q8TAT6-1","reviewed","NPLOC4","","I3L3I1-1"
"Q8TAT6-1","reviewed","NPLOC4","","K7EJN1-1"
"Q8TAT6-1","reviewed","NPLOC4","","I3L281-1"
"Q8TAT6-1","reviewed","NPLOC4","","I3L0W3-1"
"P51784-1","reviewed","USP11","P51784-1","C9JBP8-1"
"P51784-1","reviewed","USP11","","Q5JXD3-1"
"P51784-1","reviewed","USP11","","G5E9A6-1"
"Q8TAT2-1","reviewed","FGFBP3","Q8TAT2-1",""
"P17538-1","reviewed","CTRB1","P17538-1","J3QKZ2-1"
"P17538-1","reviewed","CTRB1","","A0A2R8YG87-1"
"P17538-1","reviewed","CTRB1","","A0A2R8Y4E9-1"
"P17535-1","reviewed","JUND","P17535-1","U3KPR5-1"
"P43088-1","reviewed","PTGFR","P43088-1","F2Z2Z6-1"
"P43088-1","reviewed","PTGFR","P43088-2",""
"P43088-1","reviewed","PTGFR","P43088-3",""
"P43088-1","reviewed","PTGFR","P43088-4",""
"P43088-1","reviewed","PTGFR","P43088-5",""
"P43088-1","reviewed","PTGFR","P43088-6",""
"P43088-1","reviewed","PTGFR","P43088-7",""
"P43357-1","reviewed","MAGEA3","P43357-1","E7EMU0-1"
"Q8NFI4-1","reviewed","ST13P5","Q8NFI4-1",""
"Q8NFI3-1","reviewed","ENGASE","Q8NFI3-1","F8W925-1"
"Q8NFI3-1","reviewed","ENGASE","Q8NFI3-2","J9JID0-1"
"Q8NFI3-1","reviewed","ENGASE","Q8NFI3-3","J3QLG5-1"
"Q99835-1","reviewed","SMO","Q99835-1","H7C5S9-1"
"Q99835-1","reviewed","SMO","","H7C509-1"
"Q3ZCU0-1","reviewed","GVQW3","Q3ZCU0-1","A0A0U1RQW1-1"
"Q3ZCU0-1","reviewed","GVQW3","Q3ZCU0-2",""
"Q9UK97-1","reviewed","FBXO9","Q9UK97-2","H7C4H6-1"
"Q9UK97-1","reviewed","FBXO9","Q9UK97-3","C9JDZ9-1"
"Q9UK97-1","reviewed","FBXO9","Q9UK97-1","V9GZ74-1"
"Q9UK97-1","reviewed","FBXO9","","C9J4V1-1"
"Q9UK97-1","reviewed","FBXO9","","C9IY65-1"
"Q56A73-1","reviewed","SPIN4","Q56A73-1","X6R8Y7-1"
"Q01196-1","reviewed","RUNX1","Q01196-10","H9KVB1-1"
"Q01196-1","reviewed","RUNX1","Q01196-11","V9GYT5-1"
"Q01196-1","reviewed","RUNX1","Q01196-2","C9JWM1-1"
"Q01196-1","reviewed","RUNX1","Q01196-3","A0A0C4DG58-1"
"Q01196-1","reviewed","RUNX1","Q01196-4","A8MZI9-1"
"Q01196-1","reviewed","RUNX1","Q01196-5","V9GYT3-1"
"Q01196-1","reviewed","RUNX1","Q01196-6",""
"Q01196-1","reviewed","RUNX1","Q01196-7",""
"Q01196-1","reviewed","RUNX1","Q01196-8",""
"Q01196-1","reviewed","RUNX1","Q01196-9",""
"Q01196-1","reviewed","RUNX1","Q01196-1",""
"Q9UK99-1","reviewed","FBXO3","Q9UK99-1","E9PL46-1"
"Q9UK99-1","reviewed","FBXO3","Q9UK99-2","B4E3U2-1"
"Q9UK99-1","reviewed","FBXO3","Q9UK99-3","G3V1E0-1"
"Q9UK99-1","reviewed","FBXO3","","E9PJM3-1"
"Q9UK99-1","reviewed","FBXO3","","Q49AF1-1"
"P12109-1","reviewed","COL6A1","P12109-1","A0A087X0S5-1"
"Q6P9G4-1","reviewed","TMEM154","Q6P9G4-1","D6R923-1"
"Q6P9G4-1","reviewed","TMEM154","","A0A087WZ54-1"
"Q6P9G9-1","reviewed","ZNF449","Q6P9G9-1",""
"Q6P9G9-1","reviewed","ZNF449","Q6P9G9-2",""
"Q6P9G9-1","reviewed","ZNF449","Q6P9G9-3",""
"Q9H4H8-1","reviewed","FAM83D","Q9H4H8-1","A0A087WXK8-1"
"Q9H4H8-1","reviewed","FAM83D","Q9H4H8-2",""
"Q6NUJ2-1","reviewed","C11orf87","Q6NUJ2-1",""
"B3KNS4-1","unreviewed","ERVK3-1","","A0A0U1RQV1-1"
"B3KNS4-1","unreviewed","ERVK3-1","","Q96A10-1"
"B3KNS4-1","unreviewed","ERVK3-1","","A0A0U1RQL9-1"
"B3KNS4-1","unreviewed","ERVK3-1","","A0A0U1RQS5-1"
"B3KNS4-1","unreviewed","ERVK3-1","","A0A0U1RQN3-1"
"B3KNS4-1","unreviewed","ERVK3-1","","B3KNS4-1"
"Q6NUJ1-1","reviewed","PSAPL1","Q6NUJ1-1",""
"P12830-1","reviewed","CDH1","P12830-1","H3BVI7-1"
"P12830-1","reviewed","CDH1","P12830-2","A0A087WX17-1"
"P12830-1","reviewed","CDH1","","A0A087WU43-1"
"P12830-1","reviewed","CDH1","","J3QKP1-1"
"P12830-1","reviewed","CDH1","","H3BNC6-1"
"P12830-1","reviewed","CDH1","","A0A087WXI5-1"
"A0A0J9YWN2-1","unreviewed","IGHJ2","","A0A0J9YWN2-1"
"P12838-1","reviewed","DEFA4","P12838-1",""
"P26358-1","reviewed","DNMT1","P26358-2","K7ERQ1-1"
"P26358-1","reviewed","DNMT1","P26358-3","K7ENQ6-1"
"P26358-1","reviewed","DNMT1","P26358-1","K7EIZ6-1"
"P26358-1","reviewed","DNMT1","","K7EP77-1"
"P26358-1","reviewed","DNMT1","","K7EJL0-1"
"P26358-1","reviewed","DNMT1","","K7EMU8-1"
"P26358-1","reviewed","DNMT1","","K7ENW7-1"
"P26358-1","reviewed","DNMT1","","K7ELB1-1"
"P26358-1","reviewed","DNMT1","","K7ER10-1"
"P26358-1","reviewed","DNMT1","","K7EKC3-1"
"Q8WZ04-1","reviewed","LRTOMT","Q8WZ04-1","F5H614-1"
"Q8WZ04-1","reviewed","LRTOMT","Q96E66-1","F5GYI0-1"
"Q8WZ04-1","reviewed","LRTOMT","Q96E66-2","F5H6K5-1"
"Q8WZ04-1","reviewed","LRTOMT","Q96E66-3","F5H6F7-1"
"Q8WZ04-1","reviewed","LRTOMT","Q96E66-4","F5H0M6-1"
"Q8WZ04-1","reviewed","LRTOMT","Q96E66-5",""
"Q8WZ04-1","reviewed","LRTOMT","Q96E66-6",""
"Q8WZ04-1","reviewed","LRTOMT","Q8WZ04-2",""
"P10082-1","reviewed","PYY","P10082-1",""
"P10082-1","reviewed","PYY","P10082-2",""
"Q9H7X3-1","reviewed","ZNF696","Q9H7X3-1","E5RH76-1"
"Q9H7X3-1","reviewed","ZNF696","","E5RJV3-1"
"Q9H7X3-1","reviewed","ZNF696","","E5RFI7-1"
"Q9H7X3-1","reviewed","ZNF696","","E5RG39-1"
"Q9H7X3-1","reviewed","ZNF696","","E5RH99-1"
"Q32MQ0-1","reviewed","ZNF750","Q32MQ0-1","I3L0W7-1"
"P24844-1","reviewed","MYL9","P24844-1",""
"P24844-1","reviewed","MYL9","P24844-2",""
"O75388-1","reviewed","GPR32","O75388-1",""
"A0A075B7D4-1","unreviewed","IGKV1OR2-108","","A0A075B7D4-1"
"A0A075B7D0-1","unreviewed","IGHV1OR15-1","","A0A075B7D0-1"
"Q9NXJ0-1","reviewed","MS4A12","Q9NXJ0-1",""
"Q9NXJ0-1","reviewed","MS4A12","Q9NXJ0-2",""
"B2RUZ4-1","reviewed","SMIM1","B2RUZ4-1","H3BS66-1"
"B2RUZ4-1","reviewed","SMIM1","","A0A2R8Y7R4-1"
"P58317-1","reviewed","ZNF121","P58317-1","K7EQI1-1"
"P49279-1","reviewed","SLC11A1","P49279-1","A0A0A0MTL3-1"
"P49279-1","reviewed","SLC11A1","P49279-2","Q9HBK0-1"
"P49279-1","reviewed","SLC11A1","","A0A087X2D6-1"
"P49279-1","reviewed","SLC11A1","","A0A087X181-1"
"Q9BYZ8-1","reviewed","REG4","Q9BYZ8-1","E9PNV6-1"
"Q9BYZ8-1","reviewed","REG4","Q9BYZ8-2",""
"Q5SY80-1","reviewed","CATSPERE","Q5SY80-1","B1AQM6-1"
"Q5SY80-1","reviewed","CATSPERE","Q5SY80-2",""
"Q5SY80-1","reviewed","CATSPERE","Q5SY80-3",""
"A0A286YFK9-1","reviewed","SMIM38","A0A286YFK9-1",""
"O60909-1","reviewed","B4GALT2","O60909-1",""
"O60909-1","reviewed","B4GALT2","O60909-2",""
"O60909-1","reviewed","B4GALT2","O60909-3",""
"O60906-1","reviewed","SMPD2","O60906-1","H0Y5N2-1"
"O60907-1","reviewed","TBL1X","O60907-2","C9JP56-1"
"O60907-1","reviewed","TBL1X","O60907-1","C9JYQ8-1"
"O60907-1","reviewed","TBL1X","","C9JCW3-1"
"O60907-1","reviewed","TBL1X","","C9J5F9-1"
"O60907-1","reviewed","TBL1X","","A0A2R8Y757-1"
"O60907-1","reviewed","TBL1X","","A0A2R8YFW3-1"
"Q9NXG6-1","reviewed","P4HTM","Q9NXG6-1","V9GYK5-1"
"Q9NXG6-1","reviewed","P4HTM","Q9NXG6-2","A0A0C4DGS7-1"
"Q9NXG6-1","reviewed","P4HTM","Q9NXG6-3","V9GY20-1"
"Q9NXG6-1","reviewed","P4HTM","","H7C153-1"
"O60902-1","reviewed","SHOX2","O60902-1","A6NLG4-1"
"O60902-1","reviewed","SHOX2","O60902-2","A0A087WVB7-1"
"O60902-1","reviewed","SHOX2","O60902-3",""
"Q9N2K0-1","reviewed","","Q9N2K0-1",""
"P29375-1","reviewed","KDM5A","P29375-2","F5GZR8-1"
"P29375-1","reviewed","KDM5A","P29375-1","F5GZ99-1"
"P29375-1","reviewed","KDM5A","","E7EV89-1"
"P29375-1","reviewed","KDM5A","","F5H322-1"
"A2VEC9-1","reviewed","SSPO","A2VEC9-1",""
"A2VEC9-1","reviewed","SSPO","A2VEC9-2",""
"P11021-1","reviewed","HSPA5","P11021-1",""
"Q9H5J0-1","reviewed","ZBTB3","Q9H5J0-1","E9PPE9-1"
"Q9H5J4-1","reviewed","ELOVL6","Q9H5J4-1","D6RHI2-1"
"Q9H5J4-1","reviewed","ELOVL6","","D6RCU0-1"
"Q9H5J4-1","reviewed","ELOVL6","","D6RBP4-1"
"Q8N490-1","reviewed","PNKD","Q8N490-1",""
"Q8N490-1","reviewed","PNKD","Q8N490-2",""
"Q8N490-1","reviewed","PNKD","Q8N490-3",""
"Q8N490-1","reviewed","PNKD","Q8N490-4",""
"Q9NQR9-1","reviewed","G6PC2","Q9NQR9-1","C9IYU7-1"
"Q9NQR9-1","reviewed","G6PC2","Q9NQR9-2",""
"Q9NQR9-1","reviewed","G6PC2","Q9NQR9-3",""
"P61236-1","reviewed","YPEL3","P61236-2","H3BRF0-1"
"P61236-1","reviewed","YPEL3","P61236-1","H3BUE2-1"
"P61236-1","reviewed","YPEL3","","A0A0B4J290-1"
"P61236-1","reviewed","YPEL3","","H3BNP5-1"
"P61236-1","reviewed","YPEL3","","H3BME7-1"
"A6NEF3-1","reviewed","GOLGA6L4","A6NEF3-1","J3KQ80-1"
"A6NEF3-1","reviewed","GOLGA6L4","","H0YA86-1"
"Q96RB7-1","reviewed","OR5M11","Q96RB7-1",""
"O43237-1","reviewed","DYNC1LI2","O43237-1","J3KRZ2-1"
"O43237-1","reviewed","DYNC1LI2","O43237-2","J3KSD2-1"
"O43237-1","reviewed","DYNC1LI2","","J3QKK5-1"
"O43237-1","reviewed","DYNC1LI2","","H3BU48-1"
"O43237-1","reviewed","DYNC1LI2","","J3KRI4-1"
"O43237-1","reviewed","DYNC1LI2","","B4E2E0-1"
"O43237-1","reviewed","DYNC1LI2","","H3BUM4-1"
"P0C6P0-1","reviewed","NBEAP1","P0C6P0-1",""
"Q8NA31-1","reviewed","TERB1","Q8NA31-2","J3KSG9-1"
"Q8NA31-1","reviewed","TERB1","Q8NA31-3","J3KT78-1"
"Q8NA31-1","reviewed","TERB1","Q8NA31-1",""
"Q9BPU9-1","reviewed","B9D2","Q9BPU9-1","M0QY88-1"
"A7E2F4-1","reviewed","GOLGA8A","A7E2F4-1",""
"A7E2F4-1","reviewed","GOLGA8A","A7E2F4-3",""
"Q9BPU6-1","reviewed","DPYSL5","Q9BPU6-1","E7EWB4-1"
"Q9BPU6-1","reviewed","DPYSL5","","E7ESV0-1"
"Q9BPU6-1","reviewed","DPYSL5","","E9PHT0-1"
"A0A0J9YWX3-1","reviewed","TRBJ1-6","A0A0J9YWX3-1",""
"Q15828-1","reviewed","CST6","Q15828-1",""
"Q16720-1","reviewed","ATP2B3","Q16720-1",""
"Q16720-1","reviewed","ATP2B3","Q16720-2",""
"Q16720-1","reviewed","ATP2B3","Q16720-3",""
"Q16720-1","reviewed","ATP2B3","Q16720-4",""
"Q16720-1","reviewed","ATP2B3","Q16720-5",""
"Q16720-1","reviewed","ATP2B3","Q16720-6",""
"Q16720-1","reviewed","ATP2B3","Q16720-7",""
"Q16720-1","reviewed","ATP2B3","Q16720-8",""
"Q9P2F9-1","reviewed","ZNF319","Q9P2F9-1","H3BT69-1"
"P31268-1","reviewed","HOXA7","P31268-1","E5RHM9-1"
"P31269-1","reviewed","HOXA9","P31269-1","A8MVF3-1"
"Q504T8-1","reviewed","MIDN","Q504T8-1","K7END3-1"
"Q504T8-1","reviewed","MIDN","","K7EN89-1"
"Q9P2F5-1","reviewed","STOX2","Q9P2F5-2","H0YA59-1"
"Q9P2F5-1","reviewed","STOX2","Q9P2F5-1","D6RDA5-1"
"Q9P2F5-1","reviewed","STOX2","","H0Y8U0-1"
"Q9P2F6-1","reviewed","ARHGAP20","Q9P2F6-1","A0A0C4DGG5-1"
"Q9P2F6-1","reviewed","ARHGAP20","Q9P2F6-2",""
"Q9P2F6-1","reviewed","ARHGAP20","Q9P2F6-3",""
"Q9P2F6-1","reviewed","ARHGAP20","Q9P2F6-4",""
"P55273-1","reviewed","CDKN2D","P55273-1",""
"P31260-1","reviewed","HOXA10","P31260-1","Q5I0Y5-1"
"P31260-1","reviewed","HOXA10","P31260-2",""
"K7EJ57-1","unreviewed","TOMM40","","K7EJ57-1"
"Q9C004-1","reviewed","SPRY4","Q9C004-2","D6RB56-1"
"Q9C004-1","reviewed","SPRY4","Q9C004-1","A0A0C4DFS6-1"
"B1AL88-1","reviewed","FAM155A","B1AL88-1",""
"A6NDL8-1","reviewed","OR6C68","A6NDL8-1",""
"A6NDL7-1","reviewed","METTL21EP","A6NDL7-1",""
"Q96FV0-1","reviewed","LRRC46","Q96FV0-1","J3QQW4-1"
"Q96FV0-1","reviewed","LRRC46","","J3KSP7-1"
"P18085-1","reviewed","ARF4","P18085-1","C9JAK5-1"
"P18085-1","reviewed","ARF4","","C9J6P1-1"
"P18085-1","reviewed","ARF4","","U3KQF2-1"
"P18085-1","reviewed","ARF4","","C9JPM4-1"
"P18085-1","reviewed","ARF4","","F8WDB3-1"
"P18084-1","reviewed","ITGB5","P18084-1","H7C5U2-1"
"P18084-1","reviewed","ITGB5","","F8WBG2-1"
"P18084-1","reviewed","ITGB5","","H7C580-1"
"P18084-1","reviewed","ITGB5","","H7C4W1-1"
"P18084-1","reviewed","ITGB5","","V9GZ57-1"
"P18084-1","reviewed","ITGB5","","V9GYD8-1"
"P18084-1","reviewed","ITGB5","","V9GYZ1-1"
"Q9H6U6-1","reviewed","BCAS3","Q9H6U6-1","K7EJU7-1"
"Q9H6U6-1","reviewed","BCAS3","Q9H6U6-2","K7ELH0-1"
"Q9H6U6-1","reviewed","BCAS3","Q9H6U6-3","K7EIE2-1"
"Q9H6U6-1","reviewed","BCAS3","Q9H6U6-6","K7EJH7-1"
"Q9H6U6-1","reviewed","BCAS3","Q9H6U6-7","K7EML5-1"
"Q9H6U6-1","reviewed","BCAS3","Q9H6U6-8","K7EKB0-1"
"Q9H6U6-1","reviewed","BCAS3","","K7EQA6-1"
"Q9H6U6-1","reviewed","BCAS3","","K7ESE9-1"
"Q9H6U6-1","reviewed","BCAS3","","K7EIR7-1"
